column,pandas_dtype,postgres_type,distinct_values,example
encounter_id,int64,INTEGER,69987,12522
patient_nbr,int64,INTEGER,69987,48330783
race,str,VARCHAR,6,Caucasian
gender,str,VARCHAR,2,Female
age,str,VARCHAR,10,[80-90)
age_numeric,int64,INTEGER,10,85
age_group,category,VARCHAR,3,60+
time_in_hospital,int64,INTEGER,14,13
medical_specialty,str,VARCHAR,71,Missing
num_lab_procedures,int64,INTEGER,116,68
num_procedures,int64,INTEGER,7,2
num_medications,int64,INTEGER,75,28
number_outpatient,int64,INTEGER,33,0
number_emergency,int64,INTEGER,18,0
number_inpatient,int64,INTEGER,13,0
diag_1,str,VARCHAR,695,398
diag_2,str,VARCHAR,724,427
diag_3,str,VARCHAR,757,38
number_diagnoses,int64,INTEGER,16,8
max_glu_serum,str,VARCHAR,4,None
A1Cresult,str,VARCHAR,4,None
metformin,str,VARCHAR,4,No
repaglinide,str,VARCHAR,4,No
nateglinide,str,VARCHAR,4,No
chlorpropamide,str,VARCHAR,4,No
glimepiride,str,VARCHAR,4,No
acetohexamide,str,VARCHAR,2,No
glipizide,str,VARCHAR,4,Steady
glyburide,str,VARCHAR,4,No
tolbutamide,str,VARCHAR,2,No
pioglitazone,str,VARCHAR,4,No
rosiglitazone,str,VARCHAR,4,No
acarbose,str,VARCHAR,3,No
miglitol,str,VARCHAR,4,No
troglitazone,str,VARCHAR,2,No
tolazamide,str,VARCHAR,2,No
insulin,str,VARCHAR,4,Steady
glyburide-metformin,str,VARCHAR,4,No
glipizide-metformin,str,VARCHAR,2,No
glimepiride-pioglitazone,str,VARCHAR,1,No
metformin-rosiglitazone,str,VARCHAR,2,No
metformin-pioglitazone,str,VARCHAR,2,No
change,str,VARCHAR,2,Ch
diabetesMed,str,VARCHAR,2,Yes
admission_type,str,VARCHAR,6,Urgent
discharge_disposition,str,VARCHAR,20,Discharged to home
admission_source,str,VARCHAR,17,Transfer from a hospital
diag_1_group,str,VARCHAR,10,Circulatory
diag_2_group,str,VARCHAR,10,Circulatory
diag_3_group,str,VARCHAR,10,Other
total_prior_visits,int64,INTEGER,34,0
num_med_changes,int64,INTEGER,5,0
num_meds_prescribed,int64,INTEGER,7,2
readmitted,str,VARCHAR,3,NO
readmitted_30d,int64,INTEGER,2,0
